1182048

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.36              2.03              1.54             13.66
2                       3.37              2.03              1.51             10.67
4                       3.33              2.02              1.48             11.69
8                       3.31              2.02              1.49             13.28
16                      4.02              2.48              1.79             13.69
32                      4.03              2.48              1.79             13.29
64                      4.03              2.48              1.80             14.03
128                     5.95              4.01              3.42             43.00
256                     5.91              4.00              3.48             45.05
512                     6.17              4.16              3.58             43.67
1024                    6.34              4.31              3.73             45.55
2048                    6.74              4.63              4.02             47.57
4096                    8.54              5.89              5.21             49.17
8192                   10.85              7.51              6.66             49.78
16384                  14.48              9.77              8.89             47.01
32768                  21.34             14.12             13.04             44.65
65536                  34.81             22.67             21.06             42.36
131072                 61.98             39.64             37.14             39.85
262144                190.43             88.43             82.86              0.00
