1182701

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.42              2.07              1.56             13.50
2                       3.40              2.04              1.52             10.47
4                       3.39              2.04              1.51             10.90
8                       3.52              2.16              1.66             18.17
16                      4.05              2.47              1.82             13.04
32                      4.07              2.48              1.82             12.95
64                      4.08              2.48              1.85             13.60
128                     6.16              4.16              3.53             43.22
256                     6.02              4.01              3.53             43.06
512                     6.33              4.27              3.61             43.08
1024                    6.43              4.32              3.76             43.83
2048                    6.77              4.63              4.05             47.15
4096                    8.65              5.97              5.24             48.75
8192                   10.90              7.52              6.66             49.34
16384                  14.62              9.80              8.85             45.57
32768                  21.35             14.05             12.95             43.62
65536                  35.37             23.08             21.31             42.37
131072                 61.95             39.64             36.99             39.68
262144                191.20             88.92             83.48              0.00
