1182582

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.42              2.09              1.57             15.10
2                       3.41              2.05              1.52             10.78
4                       3.35              2.01              1.51             11.52
8                       3.38              2.04              1.51             11.29
16                      4.04              2.47              1.81             12.92
32                      4.05              2.46              1.80             11.95
64                      4.04              2.47              1.82             13.56
128                     6.01              4.01              3.48             42.58
256                     5.98              4.00              3.51             43.63
512                     6.22              4.17              3.59             42.70
1024                    6.40              4.32              3.71             44.15
2048                    6.80              4.64              4.05             46.75
4096                    8.57              5.86              5.20             47.94
8192                   10.95              7.52              6.69             48.84
16384                  14.49              9.77              8.84             46.59
32768                  21.89             14.56             13.03             43.78
65536                  35.46             23.17             21.42             42.64
131072                 63.36             40.84             38.09             40.88
262144                194.90             89.78             84.10              0.00
