1182342

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.39              2.05              1.60             16.16
2                       3.44              2.07              1.55             11.60
4                       3.38              2.03              1.54             12.04
8                       3.36              2.02              1.55             13.24
16                      4.06              2.48              1.83             13.68
32                      4.06              2.48              1.83             14.26
64                      4.06              2.48              1.86             15.12
128                     5.97              4.01              3.48             43.57
256                     6.18              4.16              3.53             42.84
512                     6.21              4.17              3.60             43.12
1024                    6.43              4.36              3.73             44.54
2048                    6.86              4.72              4.11             47.84
4096                    8.64              5.98              5.29             49.66
8192                   11.07              7.67              6.79             50.01
16384                  14.55              9.90              8.96             48.10
32768                  21.78             14.48             13.21             44.69
65536                  35.19             22.93             21.15             42.06
131072                 62.28             39.86             37.22             39.77
262144                194.53             90.27             84.65              0.00
