1182640

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.22              1.92              1.54             15.11
2                       3.19              1.86              1.49             11.07
4                       3.16              1.85              1.47             11.12
8                       3.15              1.86              1.47             12.46
16                      3.87              2.33              1.79             14.27
32                      3.88              2.33              1.82             14.68
64                      3.90              2.36              1.81             14.60
128                     5.98              4.00              3.47             42.93
256                     5.96              4.01              3.48             43.87
512                     6.21              4.17              3.57             43.07
1024                    6.36              4.31              3.71             44.77
2048                    6.80              4.67              4.07             47.67
4096                    8.50              5.84              5.19             48.59
8192                   10.85              7.51              6.68             49.97
16384                  14.50              9.77              8.81             46.33
32768                  21.53             14.27             13.12             44.63
65536                  35.01             22.82             21.19             42.46
131072                 62.10             39.65             37.08             39.47
262144                190.91             88.64             83.18              0.00
