1182993

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.38              2.03              1.55             13.02
2                       3.41              2.05              1.52             10.65
4                       3.36              2.02              1.49             10.05
8                       3.34              2.01              1.49             10.60
16                      4.05              2.48              1.80             13.14
32                      4.05              2.48              1.81             13.65
64                      4.04              2.47              1.82             14.07
128                     5.99              4.00              3.46             42.61
256                     5.98              4.01              3.51             43.81
512                     6.22              4.17              3.60             43.10
1024                    6.41              4.32              3.72             43.83
2048                    6.79              4.63              4.04             46.58
4096                    8.50              5.82              5.18             48.21
8192                   10.90              7.52              6.67             49.36
16384                  14.44              9.77              8.79             46.83
32768                  21.50             14.26             13.14             44.88
65536                  35.27             22.97             21.22             42.04
131072                 62.23             39.88             37.24             39.98
262144                191.96             89.19             83.65              0.00
