1183346

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.36              2.01              1.54             12.78
2                       3.38              2.00              1.51              8.65
4                       3.33              1.99              1.49              9.84
8                       3.32              1.99              1.49             11.43
16                      4.05              2.47              1.81             12.89
32                      4.06              2.47              1.81             12.10
64                      4.06              2.47              1.82             12.69
128                     5.99              4.01              3.47             43.00
256                     6.00              4.02              3.49             43.13
512                     6.21              4.17              3.57             42.96
1024                    6.38              4.32              3.71             44.34
2048                    6.77              4.65              4.04             47.38
4096                    8.63              5.96              5.21             48.77
8192                   10.86              7.51              6.69             49.86
16384                  14.49              9.80              8.84             46.94
32768                  21.48             14.19             13.09             44.37
65536                  35.42             23.13             21.33             42.39
131072                 62.37             39.84             37.26             39.54
262144                191.53             88.66             83.18              0.00
