1182937

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.43              2.05              1.56             11.70
2                       3.37              2.04              1.49             10.43
4                       3.37              2.04              1.50             10.86
8                       3.35              2.05              1.55             15.35
16                      4.08              2.49              1.82             13.09
32                      4.08              2.50              1.84             13.83
64                      4.11              2.50              1.84             12.39
128                     6.02              4.02              3.46             42.14
256                     6.10              4.06              3.52             41.88
512                     6.22              4.17              3.60             42.84
1024                    6.42              4.33              3.73             43.99
2048                    6.80              4.64              4.04             46.37
4096                    8.70              5.96              5.21             47.44
8192                   10.94              7.53              6.66             48.93
16384                  14.57              9.85              8.84             46.56
32768                  21.66             14.37             13.12             44.46
65536                  35.30             23.05             21.26             42.36
131072                 62.54             39.93             37.39             39.52
262144                192.23             89.39             83.93              0.00
