1183462

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.43              2.08              1.56             13.46
2                       3.43              2.07              1.52             10.66
4                       3.33              2.01              1.50             11.88
8                       3.32              2.01              1.49             11.91
16                      4.04              2.48              1.79             12.54
32                      4.06              2.49              1.82             13.60
64                      4.04              2.48              1.83             14.57
128                     5.95              4.01              3.45             43.54
256                     5.97              4.01              3.50             43.92
512                     6.19              4.17              3.59             43.62
1024                    6.37              4.31              3.71             44.53
2048                    6.76              4.63              4.04             47.16
4096                    8.57              5.91              5.20             48.76
8192                   10.85              7.51              6.67             49.82
16384                  14.44              9.77              8.87             47.26
32768                  21.92             14.49             13.24             43.87
65536                  35.05             22.92             21.21             42.80
131072                 63.00             40.68             37.93             41.16
262144                191.19             88.81             83.32              0.00
