4186172
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.44        3437677.59
2                       6.84        3421631.02
4                      13.73        3431981.35
8                      26.99        3374210.49
16                     54.32        3395275.90
32                    101.62        3175709.00
64                    206.15        3221098.19
128                   400.49        3128836.19
256                   798.45        3118940.30
512                  1480.58        2891762.68
1024                 2633.27        2571549.34
2048                 4155.00        2028807.16
4096                 5789.13        1413361.08
8192                 6575.74         802702.90
16384                5209.37         317954.63
32768                2873.32          87686.65
65536                5506.79          84026.90
131072               9490.91          72409.91
262144              11177.33          42638.13
524288              11445.81          21831.15
1048576             10953.54          10446.11
2097152             11041.54           5265.02
4194304             11011.28           2625.29
