4185770
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3371352.35
2                       6.77        3386884.92
4                      13.45        3363437.85
8                      27.14        3392040.37
16                     53.72        3357574.32
32                     96.06        3001994.45
64                    203.41        3178333.30
128                   397.07        3102099.30
256                   799.37        3122549.84
512                  1515.48        2959920.82
1024                 2619.33        2557936.26
2048                 4162.06        2032254.42
4096                 5827.31        1422682.86
8192                 6607.11         806532.31
16384                4738.47         289213.01
32768                2962.75          90415.95
65536                5368.77          81920.93
131072               9643.65          73575.19
262144              11200.91          42728.07
524288              11459.84          21857.92
1048576             10973.93          10465.55
2097152             11020.07           5254.78
4194304             11014.10           2625.97
