4184894
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3392714.68
2                       6.77        3384649.56
4                      13.51        3377296.23
8                      27.23        3403456.96
16                     54.10        3381366.35
32                    101.54        3173194.44
64                    200.57        3133918.20
128                   403.31        3150829.73
256                   801.55        3131054.19
512                  1497.79        2925374.61
1024                 2591.09        2530365.37
2048                 4147.70        2025244.67
4096                 5830.20        1423389.72
8192                 6572.95         802362.66
16384                5283.21         322461.41
32768                2868.24          87531.72
65536                5505.69          84010.14
131072               9487.12          72381.01
262144              11170.24          42611.09
524288              11451.96          21842.89
1048576             10954.85          10447.36
2097152             11045.78           5267.04
4194304             10998.82           2622.32
