4186958
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3364374.95
2                       6.83        3416230.30
4                      13.73        3432283.20
8                      27.52        3439460.39
16                     54.72        3419895.89
32                    100.51        3140828.36
64                    203.04        3172456.73
128                   404.28        3158469.29
256                   796.18        3110088.89
512                  1506.14        2941678.02
1024                 2652.18        2590017.26
2048                 4099.24        2001581.25
4096                 5814.95        1419666.19
8192                 6556.51         800355.06
16384                5252.49         320586.42
32768                2868.88          87551.36
65536                5513.21          84124.88
131072               9491.71          72416.02
262144              11167.06          42598.94
524288              11463.07          21864.07
1048576             10964.59          10456.64
2097152             11048.13           5268.16
4194304             10953.25           2611.46
