4187048
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.42        3416662.53
2                       6.78        3388084.42
4                      13.64        3410304.98
8                      27.27        3408739.26
16                     54.17        3385577.02
32                    102.42        3200476.87
64                    204.44        3194326.88
128                   402.42        3143884.80
256                   808.25        3157218.12
512                  1490.46        2911049.25
1024                 2372.25        2316650.67
2048                 4130.03        2016616.92
4096                 5779.56        1411025.89
8192                 6430.60         784984.91
16384                5307.12         323920.83
32768                2961.33          90372.48
65536                5367.97          81908.66
131072               9198.06          70175.65
262144              11201.62          42730.77
524288              11457.99          21854.38
1048576             10958.73          10451.06
2097152             10994.52           5242.60
4194304             11002.46           2623.19
