4186660
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3366845.72
2                       6.79        3397278.25
4                      13.57        3392450.31
8                      26.92        3365172.78
16                     53.97        3373171.90
32                    102.37        3199016.30
64                    204.35        3192991.38
128                   395.13        3086991.42
256                   806.41        3150021.75
512                  1487.33        2904940.81
1024                 2578.90        2518459.52
2048                 4091.83        1997965.20
4096                 5779.22        1410941.28
8192                 6548.27         799349.23
16384                5216.89         318413.90
32768                2878.55          87846.52
65536                5514.50          84144.67
131072               9493.21          72427.48
262144              11207.79          42754.32
524288              11457.90          21854.21
1048576             10941.22          10434.36
2097152             11003.73           5246.99
4194304             11034.23           2630.77
