4187239
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3389878.99
2                       6.79        3396719.30
4                      13.67        3418421.77
8                      27.20        3400596.06
16                     54.14        3383790.59
32                    102.18        3193075.82
64                    205.81        3215844.47
128                   403.63        3153322.94
256                   799.73        3123926.15
512                  1533.81        2995721.73
1024                 2648.33        2586255.67
2048                 4137.45        2020238.37
4096                 5824.34        1421958.05
8192                 6645.07         811165.39
16384                5210.41         318018.22
32768                2874.79          87731.48
65536                5517.36          84188.23
131072               9495.98          72448.60
262144              11019.16          42034.77
524288              11466.47          21870.55
1048576             10961.12          10453.34
2097152             11043.48           5265.94
4194304             11027.01           2629.04
