4188117
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3374619.70
2                       6.67        3333125.01
4                      13.84        3459990.61
8                      27.31        3413708.39
16                     54.98        3436341.24
32                    103.17        3224191.11
64                    204.41        3193980.94
128                   403.97        3156003.73
256                   803.21        3137553.28
512                  1483.83        2898109.71
1024                 2622.97        2561493.86
2048                 4092.96        1998514.23
4096                 5658.77        1381535.39
8192                 6772.81         826759.63
16384                5272.92         321833.55
32768                2961.82          90387.48
65536                5364.30          81852.65
131072               9637.50          73528.31
262144              11186.76          42674.12
524288              11447.13          21833.66
1048576             10982.72          10473.94
2097152             11006.72           5248.41
4194304             11024.13           2628.36
