4186367
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.44        3437559.42
2                       6.75        3374972.05
4                      13.77        3441620.70
8                      26.64        3329615.26
16                     54.46        3404059.77
32                    103.28        3227538.98
64                    205.89        3217098.88
128                   403.22        3150125.64
256                   804.74        3143526.55
512                  1496.76        2923358.23
1024                 2622.64        2561176.09
2048                 4106.49        2005121.83
4096                 5839.16        1425576.76
8192                 6605.36         806317.90
16384                5216.41         318384.31
32768                2873.63          87696.12
65536                5508.77          84057.16
131072               9472.50          72269.42
262144              11192.49          42695.94
524288              11403.44          21750.34
1048576             10952.03          10444.67
2097152             10983.87           5237.52
4194304             11002.05           2623.09
