4188219
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3365774.49
2                       6.83        3412685.38
4                      13.56        3389602.50
8                      27.39        3423589.49
16                     54.70        3418502.11
32                    103.01        3219048.72
64                    208.00        3250070.59
128                   409.98        3202940.30
256                   789.29        3083173.92
512                  1519.82        2968396.78
1024                 2666.10        2603611.53
2048                 4166.91        2034621.63
4096                 5832.30        1423902.43
8192                 6663.28         813388.89
16384                5277.10         322088.71
32768                2963.59          90441.59
65536                5206.24          79440.94
131072               9642.87          73569.28
262144              11182.25          42656.90
524288              11459.88          21857.99
1048576             10954.17          10446.71
2097152             11026.36           5257.78
4194304             11045.25           2633.39
