4184616
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3386023.03
2                       6.75        3375545.23
4                      13.43        3356804.74
8                      26.86        3357981.27
16                     52.48        3279694.95
32                    102.23        3194704.78
64                    203.79        3184174.65
128                   399.96        3124690.28
256                   788.83        3081362.91
512                  1516.19        2961304.08
1024                 2667.11        2604594.83
2048                 4168.26        2035281.61
4096                 5816.84        1420126.75
8192                 6609.82         806862.87
16384                5241.67         319926.15
32768                2962.20          90399.30
65536                5369.98          81939.38
131072               9620.44          73398.14
262144              11042.72          42124.62
524288              11423.03          21787.69
1048576             10978.25          10469.68
2097152             11018.37           5253.97
4194304             10997.38           2621.98
