4185295
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       1.75        1748737.56
2                       6.69        3344677.36
4                      13.38        3344752.53
8                      26.49        3311412.47
16                     53.61        3350920.43
32                    100.04        3126155.52
64                    203.30        3176607.46
128                   397.21        3103192.80
256                   785.06        3066648.33
512                  1471.70        2874411.14
1024                 2588.41        2527739.97
2048                 4055.52        1980232.94
4096                 5709.39        1393893.66
8192                 6446.37         786910.05
16384                5184.68         316447.72
32768                2874.22          87714.21
65536                5509.22          84064.06
131072               9490.06          72403.38
262144              11172.28          42618.86
524288              11382.88          21711.11
1048576             10973.75          10465.39
2097152             11030.79           5259.89
4194304             11023.95           2628.31
