4185584
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.35        3348586.84
2                       6.69        3346720.21
4                      13.38        3344401.21
8                      26.76        3345042.73
16                     53.73        3358180.37
32                     90.07        2814775.46
64                    203.80        3184391.70
128                   393.09        3071023.17
256                   796.73        3112213.79
512                  1503.91        2937327.98
1024                 2606.14        2545055.43
2048                 4155.59        2029097.90
4096                 5846.46        1427357.22
8192                 6346.48         774716.54
16384                5269.56         321628.52
32768                2961.18          90368.10
65536                5365.63          81873.04
131072               9641.43          73558.30
262144              11206.20          42748.26
524288              11427.99          21797.16
1048576             10993.83          10484.53
2097152             10986.45           5238.75
4194304             11035.13           2630.98
