4186072
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.42        3418666.45
2                       6.87        3432748.96
4                      13.46        3365696.61
8                      27.32        3414473.31
16                     54.84        3427425.08
32                     91.55        2860867.09
64                    205.32        3208092.41
128                   398.60        3114096.10
256                   800.06        3125250.26
512                  1468.94        2869015.97
1024                 2668.10        2605562.96
2048                 4182.60        2042287.48
4096                 5797.63        1415437.56
8192                 6557.14         800432.13
16384                5208.16         317881.02
32768                2962.65          90413.02
65536                5362.64          81827.45
131072               9646.40          73596.20
262144              11182.42          42657.54
524288              11393.20          21730.80
1048576             11000.91          10491.28
2097152             11005.12           5247.65
4194304             11017.89           2626.87
