4187935
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3360716.17
2                       6.79        3397189.89
4                      13.50        3373970.35
8                      27.07        3384128.75
16                     53.39        3336643.91
32                    100.94        3154256.97
64                    203.86        3185355.33
128                   404.04        3156546.97
256                   787.42        3075864.27
512                   968.10        1890813.78
1024                 2425.52        2368672.82
2048                 4118.96        2011209.98
4096                 5696.30        1390699.09
8192                 6496.42         793019.64
16384                5259.76         321030.09
32768                2959.50          90316.70
65536                5366.40          81884.78
131072               9638.13          73533.08
262144              11182.41          42657.52
524288              11435.03          21810.60
1048576             10984.67          10475.80
2097152             10931.99           5212.78
4194304             11046.85           2633.77
