4188514
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.43        3428032.74
2                       6.83        3416611.46
4                      13.64        3410895.68
8                      26.79        3348450.19
16                     55.45        3465889.15
32                    102.11        3190842.28
64                    206.27        3223012.31
128                   404.41        3159482.79
256                   799.61        3123482.49
512                  1506.17        2941742.92
1024                 2656.44        2594176.72
2048                 4082.90        1993601.16
4096                 5787.23        1412897.41
8192                 6410.37         782515.67
16384                5230.01         319214.25
32768                2875.20          87744.19
65536                5510.30          84080.53
131072               9477.84          72310.16
262144              11183.43          42661.38
524288              11371.28          21689.00
1048576             10936.62          10429.97
2097152             11043.31           5265.86
4194304             11013.15           2625.74
