4185486
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3390942.26
2                       6.81        3403654.25
4                      13.55        3388220.74
8                      27.32        3414710.14
16                     54.24        3389737.15
32                    101.71        3178494.31
64                    207.63        3244254.88
128                   397.13        3102550.44
256                   795.58        3107723.91
512                  1499.06        2927854.46
1024                 2606.93        2545830.92
2048                 4109.87        2006773.49
4096                 5802.85        1416711.84
8192                 6632.92         809682.28
16384                5185.63         316505.76
32768                2960.14          90336.21
65536                5369.01          81924.61
131072               9645.09          73586.22
262144              11214.99          42781.78
524288              11411.79          21766.27
1048576             10984.14          10475.29
2097152             10928.70           5211.21
4194304             11063.29           2637.69
