4187633
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.32        3319037.27
2                       6.69        3343436.78
4                      13.58        3395084.98
8                      26.77        3346114.79
16                     53.55        3346900.48
32                    100.62        3144226.14
64                    205.35        3208528.27
128                   393.36        3073095.01
256                   792.09        3094095.31
512                  1364.32        2664692.57
1024                 2630.42        2568770.81
2048                 4188.96        2045391.06
4096                 5804.89        1417208.45
8192                 6420.49         783751.36
16384                5238.75         319747.67
32768                2961.26          90370.37
65536                5358.44          81763.24
131072               9650.00          73623.66
262144              11211.01          42766.60
524288              11360.53          21668.50
1048576             11003.20          10493.47
2097152             10971.17           5231.46
4194304             11041.88           2632.59
