4185193
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.26        3257486.49
2                       6.28        3137779.40
4                      12.84        3209504.95
8                      25.60        3199745.62
16                     51.39        3212069.35
32                    101.86        3182975.85
64                    206.13        3220736.71
128                   400.24        3126894.76
256                   732.19        2860124.28
512                   939.22        1834423.24
1024                 1657.09        1618253.09
2048                 4108.98        2006336.26
4096                 5684.29        1387764.94
8192                 6402.14         781510.63
16384                5274.13         321907.46
32768                2959.28          90309.99
65536                5361.99          81817.40
131072               9632.38          73489.22
262144              11181.56          42654.29
524288              11438.54          21817.29
1048576             10944.15          10437.16
2097152             11000.37           5245.39
4194304             11016.16           2626.46
