4184423
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.24        3241399.15
2                       6.38        3191429.42
4                      12.94        3234002.30
8                      25.87        3233982.69
16                     52.11        3256571.53
32                    100.53        3141619.29
64                    207.77        3246336.59
128                   401.37        3135737.76
256                   805.63        3146981.23
512                  1475.57        2881972.85
1024                 2641.37        2579466.72
2048                 4165.61        2033991.17
4096                 5786.24        1412656.65
8192                 6389.50         779967.98
16384                5304.71         323773.58
32768                2949.75          90019.18
65536                5364.44          81854.91
131072               9641.05          73555.37
262144              11184.07          42663.85
524288              11455.92          21850.43
1048576             10976.90          10468.39
2097152             10991.12           5240.98
4194304             11053.25           2635.30
