4187335
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3385612.84
2                       6.89        3443535.43
4                      13.89        3472938.21
8                      27.22        3402412.95
16                     54.22        3388500.59
32                    102.60        3206298.77
64                    203.31        3176780.91
128                   409.71        3200865.83
256                   797.37        3114726.57
512                  1506.20        2941806.47
1024                 2617.23        2555885.03
2048                 4134.57        2018832.55
4096                 5790.90        1413795.06
8192                 6666.46         813776.94
16384                5189.63         316749.58
32768                2871.75          87638.73
65536                5513.14          84123.78
131072               9342.20          71275.30
262144              11179.70          42647.16
524288              11453.64          21846.08
1048576             10964.09          10456.17
2097152             11041.54           5265.02
4194304             11019.33           2627.21
