4187827
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.35        3348106.85
2                       6.67        3333810.83
4                      13.45        3363570.43
8                      26.93        3366348.09
16                     53.61        3350822.18
32                    101.05        3157680.76
64                    202.32        3161218.18
128                   395.75        3091812.83
256                   803.75        3139658.90
512                  1503.03        2935607.45
1024                 2640.35        2578466.98
2048                 4134.07        2018586.77
4096                 5735.94        1400375.43
8192                 6661.63         813187.25
16384                5148.98         314269.08
32768                2895.53          88364.58
65536                5367.28          81898.18
131072               9652.42          73642.13
262144              11186.13          42671.70
524288              11438.76          21817.70
1048576             10995.43          10486.06
2097152             11021.64           5255.53
4194304             11023.76           2628.27
