4184701
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.41        3411241.11
2                       6.78        3390538.07
4                      13.66        3415460.94
8                      26.99        3373259.02
16                     54.77        3422994.39
32                    101.47        3170980.77
64                    204.01        3187665.33
128                   401.06        3133315.22
256                   800.09        3125340.31
512                  1508.15        2945615.20
1024                 2650.92        2588785.22
2048                 4109.83        2006753.35
4096                 5795.12        1414825.20
8192                 6638.40         810352.15
16384                5236.31         319599.00
32768                2879.32          87869.82
65536                5515.32          84157.10
131072               9379.58          71560.51
262144              11186.46          42672.97
524288              11398.25          21740.44
1048576             10952.94          10445.54
2097152             11046.83           5267.54
4194304             11039.34           2631.98
