4186463
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.40        3399306.44
2                       6.64        3322103.93
4                      13.50        3375486.48
8                      27.05        3380910.85
16                     54.50        3406474.96
32                    100.90        3152971.85
64                    204.20        3190632.30
128                   402.47        3144325.01
256                   810.05        3164269.07
512                  1497.66        2925123.24
1024                 2670.26        2607672.42
2048                 4178.22        2040148.20
4096                 5726.68        1398115.60
8192                 6631.06         809455.25
16384                5277.59         322118.77
32768                2959.92          90329.64
65536                5352.09          81666.40
131072               9631.71          73484.10
262144              11204.30          42741.03
524288              11460.81          21859.76
1048576             11000.80          10491.18
2097152             11020.86           5255.15
4194304             11021.65           2627.77
