1418405

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      31.09             22.57             19.31             55.87
2                      31.61             21.42             18.31             44.33
4                      32.89             21.90             18.74             41.39
8                      32.63             20.48             17.50             30.59
16                     42.33             25.46             21.83             22.69
32                     36.91             26.27             22.55             52.81
64                     39.30             29.15             25.05             59.50
128                    54.64             36.17             31.14             40.68
256                    56.91             38.97             33.58             46.55
512                    79.67             52.96             45.73             41.59
1024                   90.50             58.69             50.71             37.27
2048                  127.02             82.70             71.58             38.09
4096                  241.13            144.33            125.11             22.63
8192                  398.02            244.93            212.51             27.96
16384                 687.09            428.58            372.06             30.52
32768                1857.50           1035.59            899.39              8.61
65536                3221.96           1615.17           1402.99              0.00
131072               6652.75           3585.92           3115.23              1.55
262144              16938.22          13586.84          11804.30             71.61
