1423428

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      27.25             20.40             17.43             60.65
2                      28.82             21.18             18.11             57.83
4                      28.05             20.65             17.66             58.14
8                      40.50             25.18             21.58             29.00
16                     40.15             33.33             28.67             76.21
32                     43.19             31.55             27.13             57.10
64                     34.67             27.30             23.43             68.54
128                    55.94             36.67             31.57             38.96
256                    59.67             39.92             34.40             42.60
512                    70.34             45.02             38.83             34.81
1024                   90.16             60.81             52.55             44.14
2048                  144.20             92.59             80.17             35.62
4096                  217.91            134.07            116.20             27.85
8192                  419.21            255.03            221.29             25.80
16384                 647.54            392.29            340.53             25.04
32768                1464.76            753.93            654.71              0.00
65536                3081.18           1571.53           1365.02              0.00
131072               6065.19           3240.47           2815.04              0.00
262144              16665.28          13766.69          11960.32             75.76
