1421747

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      35.44             23.78             20.30             42.56
2                      33.97             22.56             19.25             40.73
4                      28.29             21.16             18.05             60.51
8                      31.24             22.97             19.64             57.90
16                     31.83             23.77             20.34             60.35
32                     34.24             25.23             21.63             58.36
64                     45.21             28.47             24.45             31.58
128                    66.72             37.47             32.27              9.34
256                    65.37             46.62             40.23             53.40
512                    67.65             43.96             37.90             37.48
1024                   86.35             54.60             47.16             32.67
2048                  149.22             89.96             77.87             23.90
4096                  217.90            134.94            116.95             29.06
8192                  418.82            245.27            212.81             18.45
16384                 663.29            407.16            353.45             27.54
32768                1445.45            757.71            657.99              0.00
65536                3057.80           1561.18           1356.04              0.00
131072               6706.39           3837.14           3333.39             13.92
262144              16156.27          13447.98          11683.45             76.82
