1181780

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.47
2                       1.51
4                       1.47
8                       1.51
16                      1.82
32                      1.85
64                      1.89
128                     4.48
256                     4.52
512                     4.64
1024                    4.74
2048                    5.14
4096                    6.30
8192                    6.27
16384                   8.50
32768                  12.70
65536                  20.84
131072                 36.62
262144                 84.04
