1181897

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.53
2                       1.58
4                       1.51
8                       1.58
16                      1.90
32                      1.93
64                      1.94
128                     4.54
256                     4.58
512                     4.69
1024                    4.75
2048                    5.14
4096                    6.29
8192                    6.29
16384                   8.53
32768                  12.72
65536                  20.88
131072                 36.58
262144                 83.03
