1181838

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.53
2                       1.58
4                       1.51
8                       1.58
16                      1.84
32                      1.89
64                      1.90
128                     4.53
256                     4.58
512                     4.68
1024                    4.75
2048                    5.14
4096                    6.29
8192                    6.27
16384                   8.48
32768                  12.72
65536                  20.92
131072                 36.82
262144                 83.99
