1180976

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.56
2                       1.59
4                       1.53
8                       1.60
16                      1.91
32                      1.94
64                      1.97
128                     4.61
256                     4.65
512                     4.73
1024                    4.81
2048                    5.17
4096                    6.34
8192                    6.30
16384                   8.51
32768                  12.66
65536                  20.83
131072                 36.70
262144                 83.09
