1180589

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.56
2                       1.60
4                       1.54
8                       1.60
16                      1.92
32                      1.96
64                      1.98
128                     4.57
256                     4.60
512                     4.72
1024                    4.77
2048                    5.16
4096                    6.35
8192                    6.30
16384                   8.56
32768                  12.69
65536                  20.85
131072                 36.78
262144                 83.80
