1181294

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.58
4                       1.51
8                       1.58
16                      1.91
32                      1.95
64                      1.97
128                     4.59
256                     4.61
512                     4.72
1024                    4.82
2048                    5.19
4096                    6.37
8192                    6.31
16384                   8.56
32768                  12.78
65536                  20.96
131072                 36.91
262144                 83.79
