1181600

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.59
4                       1.53
8                       1.59
16                      1.91
32                      1.94
64                      1.97
128                     4.58
256                     4.60
512                     4.71
1024                    4.77
2048                    5.17
4096                    6.33
8192                    6.31
16384                   8.53
32768                  12.71
65536                  20.82
131072                 36.60
262144                 83.13
