1181043

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.53
2                       1.58
4                       1.53
8                       1.58
16                      1.89
32                      1.93
64                      1.94
128                     4.54
256                     4.57
512                     4.67
1024                    4.74
2048                    5.15
4096                    6.30
8192                    6.29
16384                   8.49
32768                  12.65
65536                  20.76
131072                 36.57
262144                 82.77
