1181720

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.52
2                       1.58
4                       1.51
8                       1.58
16                      1.87
32                      1.91
64                      1.95
128                     4.53
256                     4.57
512                     4.62
1024                    4.72
2048                    5.12
4096                    6.28
8192                    6.27
16384                   8.48
32768                  12.67
65536                  20.78
131072                 36.46
262144                 82.87
