1181231

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.56
2                       1.57
4                       1.51
8                       1.57
16                      1.89
32                      1.92
64                      1.94
128                     4.54
256                     4.56
512                     4.67
1024                    4.75
2048                    5.17
4096                    6.31
8192                    6.28
16384                   8.53
32768                  12.71
65536                  20.82
131072                 36.70
262144                 83.05
