1370898

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.92             16.84             14.45             57.97
2                      19.31             13.32             11.42             47.60
4                      23.55             11.58              9.90              0.00
8                      18.86             13.34             11.43             51.71
16                     29.31             12.86             11.01              0.00
32                     21.15             12.12             10.38             13.05
64                     27.14             22.94             19.78             78.78
128                    23.43             14.76             12.66             31.45
256                    30.98             19.73             16.99             33.79
512                    24.44             14.74             12.65             23.35
1024                   37.03             23.70             20.44             34.84
2048                   48.79             27.58             23.83             10.99
4096                   51.75             25.80             22.25              0.00
8192                   53.29             29.80             25.69              8.56
16384                  50.44             32.75             28.29             37.50
32768                  73.07             46.33             40.08             33.29
65536                 117.59             72.24             62.60             27.56
131072                208.45            126.53            109.81             25.40
262144                709.05            369.85            321.17              0.00
