1370445

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      16.96              7.84              6.66              0.00
2                      15.05             10.05              8.55             41.47
4                      25.88             12.78             10.96              0.00
8                      21.33             15.15             13.01             52.47
16                     20.58             10.89              9.26              0.00
32                     33.72             19.71             16.98             17.47
64                     38.43             19.43             16.70              0.00
128                    40.96             21.57             18.60              0.00
256                    40.52             19.66             16.94              0.00
512                    48.82             27.79             23.98             12.29
1024                   40.97             23.14             19.92             10.50
2048                   34.68             21.03             18.09             24.55
4096                   54.18             30.97             26.76             13.25
8192                   67.46             34.23             29.58              0.00
16384                  73.40             42.10             36.42             14.07
32768                 111.38             48.75             42.23              0.00
65536                 145.89             83.97             72.80             14.94
131072                260.91            142.56            123.85              4.45
262144                779.21            329.86            286.48              0.00
