1371469

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      24.03             20.10             17.25             77.23
2                      11.68              7.29              6.16             28.57
4                      12.95              9.34              7.94             54.47
8                      12.63              8.17              6.94             35.72
16                     17.68             10.09              8.60             11.70
32                     24.59             13.23             11.34              0.00
64                     23.83             15.50             13.31             37.33
128                    62.18             32.80             28.36              0.00
256                    25.44             15.20             13.05             21.61
512                    31.66             16.27             13.98              0.00
1024                   25.36             14.82             12.73             17.19
2048                   40.10             15.92             13.68              0.00
4096                   33.83             22.54             19.42             41.83
8192                   56.29             27.58             23.80              0.00
16384                  57.27             36.39             31.37             33.43
32768                 194.98            133.97            116.22             47.50
65536                 121.98             71.96             62.35             19.78
131072                228.04            122.23            106.05              0.23
262144                665.79            300.35            260.90              0.00
