1369671

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      29.08             20.57             17.71             51.93
2                      44.03             17.19             14.72              0.00
4                      19.42             14.81             12.70             63.74
8                      21.27             15.13             12.98             52.68
16                     19.27              8.30              7.04              0.00
32                     12.79              9.17              7.80             53.56
64                     29.09             17.15             14.73             18.92
128                    61.30             26.80             23.13              0.00
256                    48.58             21.49             18.50              0.00
512                    71.21             28.20             24.33              0.00
1024                   48.55             20.56             17.68              0.00
2048                   56.83             30.92             26.68              2.87
4096                   58.07             21.47             18.49              0.00
8192                   52.87             34.87             30.15             40.28
16384                  57.78             36.85             31.87             34.33
32768                  79.67             48.39             41.92             25.40
65536                 188.74            110.58             95.94             18.54
131072                261.46            151.75            131.71             16.71
262144                729.76            337.09            292.77              0.00
