1369893

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      63.83             32.87             28.40              0.00
2                      18.96              8.50              7.22              0.00
4                      30.64             17.23             14.80              9.41
8                      14.55             11.95             10.21             74.60
16                     14.11              8.07              6.82             11.39
32                     12.40              8.60              7.30             47.89
64                     12.04              8.27              7.02             46.36
128                    52.02             25.24             21.77              0.00
256                    33.25             17.34             14.89              0.00
512                    26.94             16.38             14.06             24.91
1024                   67.92             23.80             20.51              0.00
2048                   55.28             34.68             29.96             31.23
4096                   61.66             33.32             28.78              1.50
8192                   67.31             34.02             29.40              0.00
16384                  51.40             33.13             28.61             36.12
32768                 109.91             64.35             55.75             18.28
65536                 119.74             72.76             63.07             25.53
131072                211.64            132.66            115.14             31.40
262144                642.88            346.83            301.16              1.70
