1371121

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.52              7.65              6.48             40.28
2                      12.59              7.16              6.06             10.48
4                      16.67              9.73              8.30             16.37
8                      10.43              7.57              6.40             55.29
16                     11.66              7.98              6.77             45.54
32                     13.03              8.38              7.12             34.77
64                     15.21              8.26              7.01              0.82
128                    22.40             13.96             11.97             29.45
256                    39.80             20.24             17.43              0.00
512                    25.57             16.16             13.88             32.19
1024                   42.86             27.86             24.08             37.71
2048                   28.94             17.74             15.26             26.64
4096                   36.78             22.42             19.33             25.73
8192                   40.61             26.74             23.08             39.92
16384                  57.28             32.77             28.32             13.44
32768                  80.71             54.70             47.40             45.12
65536                 116.73             72.77             63.10             30.33
131072                228.54            143.85            124.94             32.22
262144                582.78            298.15            258.90              0.00
