1371360

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.89             15.38             13.11             57.94
2                      11.05              7.69              6.49             48.17
4                      12.58              8.03              6.77             32.75
8                      12.27              8.16              6.88             40.29
16                     15.49             11.30              9.60             56.41
32                     14.27              9.99              8.47             49.51
64                     12.22              8.34              7.05             45.04
128                    35.78             18.34             15.69              0.00
256                    38.95             16.02             13.72              0.00
512                    28.09             18.57             15.93             40.22
1024                   40.54             23.25             19.99             13.50
2048                   29.38             18.40             15.83             30.61
4096                   36.60             20.89             17.99             12.71
8192                   50.09             35.03             30.25             50.20
16384                  62.42             34.14             29.52              4.18
32768                 122.32             84.86             73.60             49.10
65536                 116.70             72.28             62.67             29.13
131072                206.30            128.49            111.52             30.23
262144                665.04            346.87            301.47              0.00
