1370786

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      16.58              9.64              8.21             15.49
2                      22.10              7.03              5.94              0.00
4                      14.77              9.42              8.03             33.43
8                      32.09              9.42              8.03              0.00
16                     22.29             12.88             11.03             14.66
32                     18.12             14.84             12.73             74.26
64                     36.88             22.10             19.05             22.37
128                    24.22             15.39             13.21             33.09
256                    36.70             24.38             20.98             41.29
512                    29.21             18.33             15.77             31.00
1024                   29.10             15.19             13.04              0.00
2048                   42.80             17.78             15.30              0.00
4096                   55.24             33.40             28.86             24.32
8192                   62.59             30.00             25.87              0.00
16384                  52.42             34.14             29.52             38.08
32768                  72.63             46.09             39.95             33.55
65536                 130.49             72.78             63.15              8.63
131072                206.32            122.94            106.76             21.90
262144                745.39            389.79            338.51              0.00
