1372051

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      29.66             13.65             11.70              0.00
2                      29.26             23.23             20.02             69.88
4                      12.98              7.11              6.01              2.21
8                      19.83             13.96             11.95             50.88
16                     22.71             10.05              8.57              0.00
32                     27.18             15.62             13.40             13.69
64                     33.48             17.67             15.19              0.00
128                    24.32             15.78             13.55             37.00
256                    37.62             16.28             13.98              0.00
512                    80.69             43.59             37.69              1.57
1024                   70.59             47.23             40.87             42.84
2048                   69.90             24.41             21.02              0.00
4096                   63.69             38.59             33.37             24.78
8192                   58.75             36.32             31.39             28.55
16384                  56.40             34.61             29.95             27.25
32768                 138.85             71.71             62.17              0.00
65536                 143.48             74.70             64.87              0.00
131072                282.75            141.42            122.69              0.00
262144                650.80            303.40            263.38              0.00
