114702

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     170.44
2                     135.25
4                     123.65
8                     101.54
16                    191.80
32                    159.24
64                    145.54
128                   181.92
256                   176.82
512                   179.03
1024                  158.97
2048                  162.30
4096                  180.46
8192                  155.44
16384                 174.05
32768                 369.31
65536                 398.40
131072                485.65
262144                718.97
