120868

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     147.73
2                     164.07
4                     171.47
8                     143.61
16                    126.65
32                    108.26
64                    133.37
128                   176.62
256                   196.11
512                   202.25
1024                  162.38
2048                  166.51
4096                  221.54
8192                  117.62
16384                 113.35
32768                 328.08
65536                 406.34
131072                573.34
262144                969.92
