116644

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     167.44
2                     148.13
4                     148.78
8                     126.89
16                    120.89
32                    109.92
64                     93.35
128                    93.38
256                   139.29
512                   232.64
1024                  200.33
2048                  203.43
4096                  179.16
8192                  239.94
16384                 126.83
32768                 323.24
65536                 383.32
131072                624.39
262144                922.39
