118273

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     166.97
2                     210.69
4                     195.41
8                     186.02
16                    170.92
32                    160.44
64                    148.67
128                   121.00
256                   140.96
512                   140.85
1024                  180.68
2048                  200.51
4096                  251.11
8192                  102.21
16384                 118.32
32768                 343.49
65536                 379.55
131072                578.96
262144                923.93
