118707

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     219.26
2                     195.81
4                     188.73
8                     234.63
16                    210.62
32                    187.22
64                    164.17
128                   177.18
256                   166.16
512                   182.26
1024                  176.70
2048                  146.22
4096                  130.33
8192                  153.96
16384                 142.26
32768                 367.94
65536                 390.77
131072                604.22
262144                828.86
