114363

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     109.74
2                      83.55
4                      65.58
8                     106.66
16                    124.87
32                    148.92
64                    183.97
128                   205.70
256                   206.06
512                   177.33
1024                  224.94
2048                  233.42
4096                  197.01
8192                  165.99
16384                 143.87
32768                 345.35
65536                 394.04
131072                556.10
262144                915.07
