119706

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     112.81
2                     113.21
4                     149.69
8                     157.57
16                    144.95
32                    129.11
64                    161.61
128                   155.81
256                   211.54
512                   217.49
1024                  194.76
2048                  169.40
4096                  186.53
8192                  164.87
16384                 100.99
32768                 328.87
65536                 367.36
131072                476.95
262144                780.49
