4106991

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.53
2                       6.24
4                       5.87
8                      10.02
16                      6.24
32                      9.54
64                      8.21
128                     7.94
256                     8.11
512                     8.16
1024                    8.29
2048                   11.46
4096                   19.01
8192                   21.71
16384                  25.14
32768                  34.85
65536                  51.93
131072                 84.06
262144                196.30
