4107470

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.27
2                      11.20
4                       9.03
8                       6.44
16                      7.56
32                      9.49
64                      7.83
128                    11.78
256                    11.59
512                     9.16
1024                    8.86
2048                   11.28
4096                   17.61
8192                   21.25
16384                  30.58
32768                  39.12
65536                  58.36
131072                 87.25
262144                197.98
